Sample.Name,Notes,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Blanks
180208_Smp_L2C2DCMplus10m_C,,RP_POS Metabolomics,1:38,8,CyanoAq,L2C2DCMplus10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C1DCMless10m_C,,RP_POS Metabolomics,1:39,8,CyanoAq,L2C1DCMless10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCM_C,,RP_POS Metabolomics,1:40,8,CyanoAq,L1C33DCM,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Blk_MQBlk_3,,RP_POS Metabolomics,1:41,8,CyanoAq,,1,1,
180208_Smp_L2C2DCMplus20m_C,,RP_POS Metabolomics,1:42,8,CyanoAq,L2C2DCMplus20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_TruePoo_Full3,,RP_POS Metabolomics,1:06,8,CyanoAq,Poo,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180212_Poo_TruePoo_Full1,,RP_POS Metabolomics,1:06,15,CyanoAq,Poo,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Poo_TruePoo_Half1,,RP_POS Metabolomics,1:06,15,CyanoAq,Poo,1,0.5,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Blk_MQBlk_1,,RP_POS Metabolomics,1:06,15,CyanoAq,,1,1,
180212_Smp_L2C1DCMless20m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C1DCMless20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCMplus10m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCMplus10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCMplus20m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCMplus20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCMplus10m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCMplus10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C32DCMless10m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C32DCMless10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Blk_SWBlk_1,,RP_POS Metabolomics,1:06,15,CyanoAq,,1,1,
180212_Smp_L1C32DCMless20m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C32DCMless20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCM_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCM,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCM_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCM,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCMplus20m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCMplus20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C1DCMless10m_A,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C1DCMless10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Poo_TruePoo_Half2,,RP_POS Metabolomics,1:06,15,CyanoAq,Poo,1,0.5,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Poo_TruePoo_Full2,,RP_POS Metabolomics,1:06,15,CyanoAq,Poo,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
