"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","S.N.average","Spectrum.reference.file.name"
"180920_Poo_MesoScopeQC_4",10213,808.119,5.49,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_4",1979460,810.127,5.49,1071.5,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_MesoScopeQC_4",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_4",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_4",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_5",12572,808.119,5.49,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_5",1968617,810.127,5.49,1494.785,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_MesoScopeQC_5",1199,822.136,7.165,1.03111,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_5",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_MesoScopeQC_5",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_A",16680,808.119,5.484,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_A",3114248,810.127,5.484,1729.817,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Smp_MS4C1DCM_A",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_A",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_A",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_B",4378,808.119,5.486,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
